,S&P 500 Index,Betterment 100% stock,Betterment 90% stock,Betterment 80% stock,Betterment 70% stock,Betterment 60% stock,Betterment 50% stock,Avg. private client investor 80-100% equity risk,Betterment 40% stock,Avg. private client investor 60-80% equity risk,Betterment 30% stock,Avg. private client investor 40-60% equity risk,Betterment 20% stock,Avg. private client investor 0-40% equity risk,Five year U.S. Treasury Bills,Betterment 10% stock,Betterment 0% stock
2004-01-31,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324,1.0001408021425324
2004-02-29,1.0137097438903817,1.0230662301298654,1.0217231251252477,1.0203028967332428,1.018885380714782,1.0172952928279946,1.0156532678202153,1.017913963385623,1.0134656933983788,1.0134966527193052,1.0101952991870387,1.0120857239954355,1.0069242120379402,1.004917618467191,1.0026630472127,1.0036523730740092,1.0003756706395155
2004-03-31,1.0002844569726612,1.019918234509381,1.0198621897935114,1.0197145892811093,1.0195306907314294,1.0192092521885003,1.0188016710467993,1.0209145885788593,1.0172505769763687,1.0142439643378007,1.0131965526509354,1.016407489860764,1.0091166785871755,1.0085648291076148,1.0049648825713189,1.0050157123138068,1.0008873841308152
2004-04-30,0.981361648314373,0.9785333454718002,0.9794845183703749,0.9804497476893763,0.9813409676667173,0.9820584808739445,0.9826257066312212,0.9976772346604008,0.9843194139678704,0.9938918159535333,0.9886333488380394,0.9998995505133537,0.9929065582267871,0.9969341476190983,1.0077593984616349,0.9971328788453633,1.0013121463062111
2004-05-31,0.99816133765566,0.9924442820975701,0.9916047085055766,0.9907071886764096,0.989781306936445,0.9884959848665593,0.9870396056864665,0.9959625916928374,0.9870934095517394,0.9908423501813659,0.9909155726831869,0.9971528413909829,0.9946551572858002,0.9938660950201106,1.0109358913633684,0.998300742963727,1.0018538430098909
2004-06-30,1.016622469411605,1.0178513488428553,1.014715340621125,1.0115610618791773,1.008331503133649,1.0047967528429473,1.001063951171572,1.006157819360891,0.998783040817095,0.9965236954448242,0.9999262850187063,0.998915758009121,1.0009449387615894,0.9946432558107543,1.014188181269978,1.0018312630141177,1.002585433391984
2004-07-31,0.9838761032031025,0.9818965802558459,0.9832496894857763,0.9845472056223272,0.9857979483168648,0.9867747059785876,0.9876174395910318,0.9876278501872893,0.989281684739014,0.9821441167988585,0.9930150597191494,0.9908110874993743,0.9966217092155718,0.9943799121543071,1.017253970651431,1.0000939280062706,1.003431959421536
2004-08-31,0.9862726620588305,0.9934791991716785,0.9956464120526118,0.997727460517281,0.9997471038296237,1.0015409469096137,1.0032021345067847,0.9918612445485846,1.0043766210512337,0.9868017339931234,1.0045811079787623,0.9937644424844434,1.0046312284113235,1.0008724223008585,1.020149216771912,1.004529019154318,1.0042694904873741
2004-09-30,0.9961670123242921,1.020439132941743,1.020710485010834,1.020797587421637,1.0208045366511413,1.0205461582363915,1.020147311646471,1.0105094649613284,1.0188243908338834,0.9971258884267025,1.015654561361441,1.0010168224025828,1.0123272537518742,1.005281943525735,1.0229616845844354,1.0088514129109263,1.0052209577602595
2004-10-31,1.0089988561851375,1.044963620833705,1.043779784876814,1.0424407977586738,1.040941366650745,1.039220354392405,1.0372794932518459,1.0251785311769326,1.0338558988798052,1.0098124163121418,1.0271312274861257,1.0113807550954168,1.020270093302234,1.0137287408069762,1.0257741523969592,1.013286504058974,1.006172425033145
