,Aggressive 1,Growth 2,Moderate 3,Balanced 4,Conservative 5,Tactical America 6,S&P 500 Proxy ETF (SPY)
2012,0.183,0.16899999999999998,0.155,0.135,0.113,0.17800000000000002,0.16
2013,0.221,0.18,0.14,0.102,0.07400000000000001,0.34,0.32299999999999995
2014,0.039,0.032,0.026000000000000002,0.022000000000000002,0.02,0.071,0.135
2015,-0.015,-0.02,-0.025,-0.027000000000000003,-0.028999999999999998,0.018000000000000002,0.012
2016,0.10800000000000001,0.102,0.096,0.085,0.077,0.141,0.12
2017,0.179,0.163,0.142,0.11800000000000001,0.1,0.16399999999999998,0.217
2018,-0.083,-0.075,-0.067,-0.055999999999999994,-0.048,-0.06,-0.046
